30000 358191772 44291237
31008 358189331 44290985
33028 358184479 44290859
34039 358182037 44290733
35047 358177155 44290482
37067 358174713 44290356
38079 358172272 44290230
39087 358167389 44289974
41110 358164948 44289845
42118 358162537 44289593
44137 358157623 44289463
45149 358155212 44289337
46157 358150299 44289082
48180 358147888 44288952
49188 358145447 44288696
51208 358140594 44288567
52219 358138123 44288441
54239 358133270 44288181
55247 358130829 44288048
56259 358128387 44287918
58278 358123505 44287766
59290 358121094 44287636
60298 358116180 44287373
62317 358113770 44287243
63329 358111328 44287113
64341 358106445 44286850
66360 358104004 44286720
67368 358101562 44286587
69391 358096710 44286324
70399 358094238 44286190
71411 358091827 44286060
73431 358086945 44285797
74439 358084534 44285664
75450 358082062 44285530
77470 358077209 44285263
78481 358074768 44285130
79489 358072327 44284996
81509 358067444 44284729
82521 358065002 44284592
83529 358062592 44284328
85548 358057709 44284191
86560 358055267 44284058
87571 358052826 44283787
89591 358047974 44283649
90599 358045502 44283516
91611 358043091 44283245
93630 358038208 44283108
94642 358035797 44282970
95650 358033325 44282700
97669 358028473 44282562
98681 358026031 44282425
99693 358023590 44282150
101712 358018707 44282017
102720 358016266 44281879
103732 358011414 44281601
105751 358008972 44281464
106759 358006531 44281326
107771 358001648 44281048
109791 357999237 44280910
110802 357996796 44280773
111810 357991913 44280495
113830 357989471 44280354
114841 357984619 44280075
116861 357982178 44279934
118888 21085552 41019665
119892 21083771 41021084
120900 21080191 41023941
122923 21078402 41025368
123931 21076611 41026791
124943 21074820 41029648
126963 21071238 41031075
127974 21069447 41032497
128982 21065865 41035355
131002 21064074 41036777
132013 21062281 41038204
133021 21058697 41041058
135041 21056904 41042484
136053 21055109 41043907
137061 21051523 41046761
139084 21049730 41048183
140092 21047937 41049606
141103 21044350 41052460
143123 21042557 41053883
144131 21040762 41056732
146212 118518471 42487278
147223 118521637 42490765
148231 118524803 42494251
150251 118531143 42501225
151263 118534309 42504711
152274 118537483 42508198
154294 118543823 42515171
155302 118546989 42518654
156313 118550156 42522141
158333 118556496 42529114
159345 118559669 42532600
160353 118562836 42536087
162372 118569191 42543056
163384 118572357 42546543
164395 118575523 42550026
166415 118581879 42556995
167423 118585060 42560482
168435 118588234 42563965
170454 118594582 42570938
171462 118597755 42574421
172474 118600937 42581387
174493 118607285 42584873
175505 118610466 42588356
176513 118613640 42595325
178533 118620003 42598747
179544 118623184 42602230
180556 118626358 42609196
182575 118632721 42612679
183583 118635902 42616161
184595 118639091 42623131
186615 118645454 42626614
187626 118648621 42630096
188634 118651810 42637058
190654 118658188 42640545
191665 118661369 42644024
192673 118664551 42650990
194697 118670914 42654469
195705 118674103 42657955
196713 118677284 42664917
198736 118683662 42668396
199744 118686844 42671879
